TIME,RPM,TPS,MAP,Sonda_Geral,2-step
0.020,0,0.0,0.00,0.200,OFF
0.060,0,0.0,0.00,0.200,OFF
0.100,0,0.0,0.00,0.200,OFF
0.140,0,0.0,0.00,0.200,OFF
0.180,0,0.0,0.00,0.200,OFF
0.220,0,0.0,0.00,0.200,OFF
0.260,0,0.0,0.00,0.200,OFF
0.300,0,0.0,0.00,0.200,OFF
0.340,0,0.0,0.00,0.200,OFF
0.380,0,0.0,0.00,0.200,OFF
0.420,0,0.0,0.00,0.200,OFF
0.460,0,0.0,0.00,0.200,OFF
0.500,0,0.0,0.00,0.200,OFF
0.540,0,0.0,0.00,0.200,OFF
0.580,0,0.0,0.00,0.200,OFF
0.620,0,0.0,0.00,0.200,OFF
0.660,0,0.0,0.00,0.200,OFF
0.700,0,0.0,0.00,0.200,OFF
0.740,0,0.0,0.00,0.200,OFF
0.780,0,0.0,0.00,0.200,OFF
0.820,0,0.0,0.00,0.200,OFF
0.860,0,0.0,0.00,0.200,OFF
0.900,0,0.0,0.00,0.200,OFF
0.940,0,0.0,0.00,0.200,OFF
0.980,0,0.0,0.00,0.200,OFF
1.020,0,0.0,0.00,0.200,OFF
1.060,0,0.0,0.00,0.200,OFF
1.100,0,0.0,0.00,0.200,OFF
1.140,0,0.0,0.00,0.200,OFF
1.180,0,0.0,0.00,0.200,OFF
1.220,0,0.0,0.00,0.200,OFF
1.260,0,0.0,0.00,0.200,OFF
1.300,0,0.0,0.00,0.200,OFF
1.340,0,0.0,0.00,0.200,OFF
1.380,0,0.0,0.00,0.200,OFF
1.420,0,0.0,0.00,0.200,OFF
1.460,0,0.0,0.00,0.200,OFF
1.500,0,0.0,0.00,0.200,OFF
1.540,0,0.0,0.00,0.200,OFF
1.580,0,0.0,0.00,0.200,OFF
1.620,0,0.0,0.00,0.200,OFF
1.660,0,0.0,0.00,0.200,OFF
1.700,0,0.0,0.00,0.200,OFF
1.740,0,0.0,0.00,0.200,OFF
1.780,0,0.0,0.00,0.200,OFF
1.820,2,0.0,0.00,0.200,OFF
1.860,33,0.0,0.00,0.200,OFF
1.900,266,0.0,0.00,0.200,OFF
1.940,328,0.0,0.00,0.200,OFF
1.980,2032,0.0,0.00,0.200,OFF
2.020,2261,0.0,0.00,0.200,OFF
2.060,2290,0.0,0.00,0.200,OFF
2.100,2782,0.0,0.00,0.200,OFF
2.140,2849,0.0,0.00,0.200,OFF
2.180,2875,0.0,0.00,0.200,OFF
2.220,3039,0.0,0.00,0.200,OFF
2.260,3046,0.0,0.00,0.200,OFF
2.300,3112,0.0,0.00,0.200,OFF
2.340,3121,0.0,0.00,0.200,OFF
2.380,3130,0.0,0.00,0.200,OFF
2.420,3393,0.0,0.00,0.200,OFF
2.460,3432,0.0,0.00,0.200,OFF
2.500,3509,0.0,0.00,0.200,OFF
2.540,4066,0.0,0.00,0.200,OFF
2.580,4086,0.0,0.00,0.200,OFF
2.620,4127,0.0,0.00,0.200,OFF
2.660,4422,0.0,0.00,0.200,OFF
2.700,4435,0.0,0.00,0.200,OFF
2.740,4533,0.0,0.00,0.200,OFF
2.780,4547,0.0,0.00,0.200,OFF
2.820,4561,0.0,0.00,0.200,OFF
2.860,4659,0.0,0.00,0.200,OFF
2.900,4656,0.0,0.00,0.200,OFF
2.940,4542,0.0,0.00,0.200,OFF
2.980,3690,0.0,0.00,0.200,OFF
3.020,3662,0.0,0.00,0.200,OFF
3.060,3627,0.0,0.00,0.200,OFF
3.100,3622,0.0,0.00,0.200,OFF
3.140,3619,0.0,0.00,0.200,OFF
3.180,3521,0.0,0.00,0.200,OFF
3.220,3508,0.0,0.00,0.200,OFF
3.260,3502,0.0,0.00,0.200,OFF
3.300,3469,0.0,0.00,0.200,OFF
3.340,3470,0.0,0.00,0.200,OFF
3.380,3536,0.0,0.00,0.200,OFF
3.420,3545,0.0,0.00,0.200,OFF
3.460,3562,0.0,0.00,0.200,OFF
3.500,4054,0.0,0.00,0.200,OFF
3.540,4127,0.0,0.00,0.200,OFF
3.580,4262,0.0,0.00,0.200,OFF
3.620,5246,0.0,0.00,0.200,OFF
3.660,5281,0.0,0.00,0.200,OFF
3.700,5353,0.0,0.00,0.200,OFF
3.740,5878,0.0,0.00,0.200,OFF
3.780,5898,0.0,0.00,0.200,OFF
3.820,5998,0.0,0.00,0.200,OFF
3.860,6012,0.0,0.00,0.200,OFF
3.900,6023,0.0,0.00,0.200,OFF
3.940,6350,0.0,0.00,0.200,OFF
3.980,6387,0.0,0.00,0.200,OFF
4.020,6271,0.0,0.00,0.200,OFF
4.060,5386,0.0,0.00,0.200,OFF
4.100,5353,0.0,0.00,0.200,OFF
4.140,5277,0.0,0.00,0.200,OFF
4.180,4720,0.0,0.00,0.200,OFF
4.220,4702,0.0,0.00,0.200,OFF
4.260,4701,0.0,0.00,0.200,OFF
4.300,4700,0.0,0.00,0.200,OFF
4.340,4678,0.0,0.00,0.200,OFF
4.380,4515,0.0,0.00,0.200,OFF
4.420,4508,0.0,0.00,0.200,OFF
4.460,4490,0.0,0.00,0.200,OFF
4.500,4359,0.0,0.00,0.200,OFF
4.540,4344,0.0,0.00,0.200,OFF
4.580,4015,0.0,0.00,0.200,OFF
4.620,3969,0.0,0.00,0.200,OFF
4.660,3927,0.0,0.00,0.200,OFF
4.700,3632,0.0,0.00,0.200,OFF
4.740,3621,0.0,0.00,0.200,OFF
4.780,3594,0.0,0.00,0.200,OFF
4.820,3397,0.0,0.00,0.200,OFF
4.860,3386,0.0,0.00,0.200,OFF
4.900,3221,0.0,0.00,0.200,OFF
4.940,3197,0.0,0.00,0.200,OFF
4.980,3156,0.0,0.00,0.200,OFF
5.020,2862,0.0,0.00,0.200,OFF
5.060,2852,0.0,0.00,0.200,OFF
5.100,2838,0.0,0.00,0.200,OFF
5.140,2739,0.0,0.00,0.200,OFF
5.180,2733,0.0,0.00,0.200,OFF
5.220,2634,0.0,0.00,0.200,OFF
5.260,2621,0.0,0.00,0.200,OFF
5.300,2617,0.0,0.00,0.200,OFF
5.340,2519,0.0,0.00,0.200,OFF
5.380,2504,0.0,0.00,0.200,OFF
5.420,2482,0.0,0.00,0.200,OFF
5.460,2318,0.0,0.00,0.200,OFF
5.500,2312,0.0,0.00,0.200,OFF
5.540,2303,0.0,0.00,0.200,OFF
5.580,2237,0.0,0.00,0.200,OFF
5.620,2231,0.0,0.00,0.200,OFF
5.660,2100,0.0,0.00,0.200,OFF
5.700,2082,0.0,0.00,0.200,OFF
