TIME,RPM,TPS,MAP,Sonda_Geral,2-step,Velocidade_de_tração
0.020,0,0.0,0.00,0.200,OFF,0.0
0.060,0,0.0,0.00,0.200,OFF,0.0
0.100,0,0.0,0.00,0.200,OFF,0.0
0.140,0,0.0,0.00,0.200,OFF,0.0
0.180,0,0.0,0.00,0.200,OFF,0.0
0.220,0,0.0,0.00,0.200,OFF,0.0
0.260,0,0.0,0.00,0.200,OFF,0.0
0.300,0,0.0,0.00,0.200,OFF,0.0
0.340,0,0.0,0.00,0.200,OFF,0.0
0.380,0,0.0,0.00,0.200,OFF,0.0
0.420,0,0.0,0.00,0.200,OFF,0.0
0.460,0,0.0,0.00,0.200,OFF,0.0
0.500,0,0.0,0.00,0.200,OFF,0.0
0.540,0,0.0,0.00,0.200,OFF,0.0
0.580,0,0.0,0.00,0.200,OFF,0.0
0.620,0,0.0,0.00,0.200,OFF,0.0
0.660,0,0.0,0.00,0.200,OFF,0.0
0.700,0,0.0,0.00,0.200,OFF,0.0
0.740,0,0.0,0.00,0.200,OFF,0.0
0.780,0,0.0,0.00,0.200,OFF,0.0
0.820,0,0.0,0.00,0.200,OFF,0.0
0.860,0,0.0,0.00,0.200,OFF,0.0
0.900,0,0.0,0.00,0.200,OFF,0.0
0.940,0,0.0,0.00,0.200,OFF,0.0
0.980,0,0.0,0.00,0.200,OFF,0.0
1.020,0,0.0,0.00,0.200,OFF,0.0
1.060,0,0.0,0.00,0.200,OFF,0.0
1.100,0,0.0,0.00,0.200,OFF,0.0
1.140,0,0.0,0.00,0.200,OFF,0.0
1.180,0,0.0,0.00,0.200,OFF,0.0
1.220,0,0.0,0.00,0.200,OFF,0.0
1.260,0,0.0,0.00,0.200,OFF,0.0
1.300,0,0.0,0.00,0.200,OFF,0.0
1.340,0,0.0,0.00,0.200,OFF,0.0
1.380,0,0.0,0.00,0.200,OFF,0.0
1.420,0,0.0,0.00,0.200,OFF,0.0
1.460,0,0.0,0.00,0.200,OFF,0.0
1.500,0,0.0,0.00,0.200,OFF,0.0
1.540,0,0.0,0.00,0.200,OFF,0.0
1.580,0,0.0,0.00,0.200,OFF,0.0
1.620,0,0.0,0.00,0.200,OFF,0.0
1.660,0,0.0,0.00,0.200,OFF,0.0
1.700,0,0.0,0.00,0.200,OFF,0.0
1.740,0,0.0,0.00,0.200,OFF,0.0
1.780,0,0.0,0.00,0.200,OFF,0.0
1.820,0,0.0,0.00,0.200,OFF,0.0
1.860,0,0.0,0.00,0.200,OFF,0.0
1.900,0,0.0,0.00,0.200,OFF,0.0
1.940,0,0.0,0.00,0.200,OFF,0.0
1.980,0,0.0,0.00,0.200,OFF,0.0
2.020,0,0.0,0.00,0.200,OFF,0.0
2.060,0,0.0,0.00,0.200,OFF,0.0
2.100,0,0.0,0.00,0.200,OFF,0.0
2.140,0,0.0,0.00,0.200,OFF,0.0
2.180,0,0.0,0.00,0.200,OFF,0.0
2.220,0,0.0,0.00,0.200,OFF,0.0
2.260,0,0.0,0.00,0.200,OFF,0.0
